Reactant,R_SinglePointEnergy,R_ThermalCorrectionGibbs,R_GibbsFreeEnergy,Product,P_SinglePointEnergy,P_ThermalCorrectionGibbs,P_GibbsFreeEnergy,AnodeLimit(V)
cluster9_mol247_,-533.411799,0.093853,-533.317946,cluster9_mol247_minus2Li,-518.3044,0.099578,-518.204822,0.4969134062281264
cluster9_mol248_,-533.4382845,0.095547,-533.3427375,cluster9_mol248_minus2Li,-518.2994886,0.099913,-518.1995756,0.9056013185982628
cluster9_mol258_,-494.0270195,0.064119,-493.9629005,cluster9_mol258_minus2Li,-478.9137159,0.068449,-478.8452669,0.5582698595636939
cluster9_mol262_,-494.1272051,0.06829,-494.05891510000004,cluster9_mol262_minus2Li,-479.0072241,0.073384,-478.9338401,0.6595156267822335
cluster9_mol291_,-532.2020846,0.07131,-532.1307746,cluster9_mol291_minus2Li,-517.1524872,0.078892,-517.0735952,-0.26425437788305683
cluster9_mol307_,-533.4118879,0.090508,-533.3213799,cluster9_mol307_minus2Li,-518.3236535,0.09801,-518.2256434999999,0.2603422096705357
cluster9_mol313_,-553.961843,0.030973,-553.93087,cluster9_mol313_minus2Li,-538.8374223,0.035662,-538.8017603,0.7144107133238693
cluster9_mol32_,-508.2715212,0.087024,-508.1844972,cluster9_mol32_minus2Li,-493.0851108,0.088133,-492.99697779999997,1.5091180116089444
cluster9_mol331_,-533.4407866,0.094117,-533.3466696,cluster9_mol331_minus2Li,-518.3168623,0.098831,-518.2180313,0.7079969666269794
cluster9_mol34_,-434.1655825,0.103217,-434.06236550000006,cluster9_mol34_minus2Li,-419.0594784,0.109092,-418.9503864,0.48133619241424896
cluster9_mol35_,-469.0346595,0.063535,-468.9711245,cluster9_mol35_minus2Li,-453.7777529,0.062838,-453.7149149,2.443699138726264
cluster9_mol380_,-458.5144483,0.094727,-458.41972130000005,cluster9_mol380_minus2Li,-443.320615,0.095931,-443.22468399999997,1.6114046180768007
cluster9_mol382_,-697.5435817,0.058964,-697.4846177000001,cluster9_mol382_minus2Li,-682.4261626,0.063749,-682.3624136,0.6204549025763315
cluster9_mol383_,-434.1655853,0.102975,-434.06261029999996,cluster9_mol383_minus2Li,-419.0594794,0.109122,-418.9503574,0.4850614445252328
cluster9_mol44_,-473.4720565,0.126884,-473.3451725,cluster9_mol44_minus2Li,-458.3700309,0.133562,-458.23646890000003,0.4367705850647843
cluster9_mol45_,-473.46438,0.129517,-473.334863,cluster9_mol45_minus2Li,-458.3523325,0.13471,-458.2176225,0.5529214424522715
cluster9_mol46_,-508.3435447,0.087495,-508.2560497,cluster9_mol46_minus2Li,-493.0905917,0.087384,-493.0032077,2.3978804425560107
cluster9_mol63_,-473.4836856,0.130336,-473.3533496,cluster9_mol63_minus2Li,-458.3708463,0.133933,-458.23691329999997,0.5419797048771937
