Reactant,R_SinglePointEnergy,R_Solv,R_ThermalCorrectionGibbs,R_GibbsFreeEnergy,Product,P_SinglePointEnergy,P_solv,P_ThermalCorrectionGibbs,P_GibbsFreeEnergy,AnodeLimit(V)
cluster4_mol120_,-890.6061377,-0.03553950000002715,0.050235,-890.5914422,cluster4_mol120_minus2Li,-875.3360207,-0.015477200000077573,0.050298,0.050298,4.371525269988647
cluster4_mol121_,-890.6055432,-0.03487859999995635,0.049962,-890.5904598,cluster4_mol121_minus2Li,-875.3299374,-0.015026800000100593,0.05017,0.05017,4.44531328962848
cluster2_mol130_,-625.5376378,-0.05215290000001005,0.161518,-625.4282727,cluster2_mol130_minus2Li,-610.3588035,-0.017868199999952594,0.164562,0.164562,3.363621439602133
cluster4_mol135_,-905.8595837,-0.04315309999992678,0.088586,-905.8141508,cluster4_mol135_minus2Li,-890.5946029,-0.01865459999999075,0.087342,0.087342,4.344218546146447
cluster2_mol138_,-622.1357269,-0.06504040000004352,0.115791,-622.0849763000001,cluster2_mol138_minus2Li,-606.9583985,-0.02427819999991243,0.116109,0.116109,3.3941744934467564
cluster4_mol141_,-547.9336925,-0.06560160000003634,0.117323,-547.8819711,cluster4_mol141_minus2Li,-532.8613605,-0.019727699999975812,0.124859,0.124859,2.1333752974547138
cluster4_mol142_,-866.6134601,-0.043049900000028174,0.062054,-866.594456,cluster4_mol142_minus2Li,-851.3506076,-0.017249900000024354,0.062136,0.062136,4.351010532466049
cluster4_mol150_,-508.6854702,-0.09254609999999275,0.094218,-508.6837983,cluster4_mol150_minus2Li,-493.5143595,-0.017529099999990194,0.09563,0.09563,3.7905247191275815
cluster4_mol151_,-791.4738761,-0.03618210000001909,0.059252,-791.4508062,cluster4_mol151_minus2Li,-776.2035512,-0.01619149999999081,0.059545,0.059545,4.376507692645433
cluster7_mol164_,-661.3592295,-0.07070140000007541,0.138936,-661.2909949000001,cluster7_mol164_minus2Li,-646.2471731,-0.018609599999990678,0.142946,0.142946,2.710480524434731
cluster7_mol168_,-660.2962944,-0.05099150000000918,0.12,-660.2272859,cluster7_mol168_minus2Li,-645.0284289,-0.0217265999999654,0.118898,0.118898,4.450249452763485
cluster4_mol174_,-618.830331,-0.05646490000003723,0.067888,-618.8189079,cluster4_mol174_minus2Li,-603.5839196,-0.0315466000000697,0.067951,0.067951,4.115062478881859
cluster7_mol184_,-1004.9891064,-0.03834140000003572,0.077768,-1004.9496798,cluster7_mol184_minus2Li,-989.730518,-0.01898390000008021,0.07886,0.07886,4.219081096282933
cluster2_mol186_,-720.1461467,-0.04842780000001312,0.087595,-720.1069795000001,cluster2_mol186_minus2Li,-704.8835297,-0.017494299999953,0.086477,0.086477,4.401324565735276
cluster4_mol187_,-989.7369383,-0.03389389999995274,0.040664,-989.7301682,cluster4_mol187_minus2Li,-974.4618489,-0.01379660000009153,0.040883,0.040883,4.441777157328852
cluster4_mol188_,-929.8734283,-0.03472260000000915,0.073983,-929.8341679,cluster4_mol188_minus2Li,-914.6073291,-0.01541229999997995,0.074874,0.074874,4.317894156863707
cluster4_mol192_,-666.8152057,-0.04114470000001802,0.044456,-666.8118944,cluster4_mol192_minus2Li,-651.5608571,-0.016535999999973683,0.044197,0.044197,4.214460586361186
cluster4_mol193_,-866.6126517,-0.04290609999998196,0.061827,-866.5937308,cluster4_mol193_minus2Li,-851.3465935,-0.027824699999996483,0.062105,0.062105,4.2514586801043315
cluster7_mol197_,-745.3646735,-0.042850499999985914,0.095456,-745.312068,cluster7_mol197_minus2Li,-730.1090275,-0.01909920000002785,0.095507,0.095507,4.224664892727489
cluster7_mol198_,-745.3622529,-0.04428259999997408,0.096074,-745.3104615,cluster7_mol198_minus2Li,-730.1063198,-0.021835899999928188,0.095739,0.095739,4.205569234076922
cluster7_mol201_,-646.2149979,-0.043247100000030514,0.10461,-646.153635,cluster7_mol201_minus2Li,-630.9590649,-0.022153000000002976,0.104517,0.104517,4.190457336631361
cluster4_mol204_,-666.8020961,-0.05015769999999975,0.043453,-666.8088008,cluster4_mol204_minus2Li,-651.5600718,-0.016181700000061028,0.044837,0.044837,4.196582641601667
cluster4_mol205_,-606.9516756,-0.04561200000000554,0.080827,-606.9164606,cluster4_mol205_minus2Li,-591.6921258,-0.021073800000067422,0.079118,0.079118,4.264539240295729
cluster4_mol206_,-567.6706337,-0.05087089999994987,0.053103,-567.6684016,cluster4_mol206_minus2Li,-552.4282723,-0.017329700000004777,0.05358,0.05358,4.182912952790572
cluster7_mol207_,-1005.0030069,-0.038534100000106264,0.079155,-1004.962386,cluster7_mol207_minus2Li,-989.7372243,-0.020204499999977088,0.079556,0.079556,4.293576614500527
cluster4_mol210_,-989.7302134,-0.034123599999929866,0.040894,-989.723443,cluster4_mol210_minus2Li,-974.4537009,-0.014022000000068147,0.040952,0.040952,4.4590074687757255
cluster2_mol214_,-720.1361743,-0.05062369999996008,0.085798,-720.101,cluster2_mol214_minus2Li,-704.8985132,-0.02330979999999272,0.08413,0.08413,4.0050505322056935
cluster7_mol215_,-720.166892,-0.050497100000029604,0.085178,-720.1322111,cluster7_mol215_minus2Li,-704.898983,-0.02114089999997759,0.083885,0.083885,4.449484810072676
cluster7_mol217_,-721.3159455,-0.05500830000005408,0.105066,-721.2658878000001,cluster7_mol217_minus2Li,-706.0778513,-0.018693999999982225,0.105797,0.105797,4.1660404723544975
cluster4_mol226_,-606.9583799,-0.04085680000002867,0.077591,-606.9216457,cluster4_mol226_minus2Li,-591.7072034,-0.01580699999999524,0.07802,0.07802,4.186664055811422
cluster4_mol233_,-606.9481795,-0.04497089999995296,0.078898,-606.9142524,cluster4_mol233_minus2Li,-591.693693,-0.020500099999935628,0.078893,0.078893,4.217916444783784
cluster2_mol236_,-969.055525,-0.04687860000001365,0.1012,-969.0012036,cluster2_mol236_minus2Li,-953.851671,-0.015799399999991692,0.102955,0.102955,3.6428820117111314
cluster7_mol238_,-721.3180962,-0.0530189999999493,0.103998,-721.2671171999999,cluster7_mol238_minus2Li,-706.0898997,-0.019948099999965052,0.1062,0.1062,4.007260104676853
cluster4_mol244_,-666.7952151,-0.05031830000007176,0.043503,-666.8020304,cluster4_mol244_minus2Li,-651.551822,-0.016444500000034168,0.044281,0.044281,4.205570594650634
cluster2_mol249_,-722.484091,-0.01817089999997279,0.125855,-722.3764069,cluster2_mol249_minus2Li,-707.2324656,-0.021287500000084947,0.129369,0.129369,3.851520620302599
cluster7_mol250_,-685.4847515,-0.04005640000002586,0.129868,-685.3949399,cluster7_mol250_minus2Li,-670.2345678,-0.01637110000001485,0.130153,0.130153,4.152632013783313
cluster7_mol251_,-684.2622164,-0.04143089999990934,0.107389,-684.1962583,cluster7_mol251_minus2Li,-669.0085195,-0.016745700000001307,0.107237,0.107237,4.208090378037099
cluster2_mol254_,-683.10646,-0.06000280000000657,0.100571,-683.0658918,cluster2_mol254_minus2Li,-667.973835,-0.017137800000000425,0.104708,0.104708,2.866522056277359
cluster4_mol256_,-606.9568345,-0.04134030000000166,0.078231,-606.9199438,cluster4_mol256_minus2Li,-591.7064167,-0.017965699999990647,0.078165,0.078165,4.146814198580881
cluster4_mol257_,-592.6506593,-0.06785129999991568,0.0543,-592.6642105999999,cluster4_mol257_minus2Li,-577.5322972,-0.009845199999972465,0.059937,0.059937,2.898879231485299
cluster2_mol259_,-721.2651346,-0.057773499999939304,0.104947,-721.2179610999999,cluster2_mol259_minus2Li,-706.0951447,-0.02452970000001642,0.107136,0.107136,3.217491690674987
cluster7_mol260_,-756.0622959,-0.05238520000000335,0.063132,-756.0515491,cluster7_mol260_minus2Li,-740.7974185,-0.02496609999991506,0.063106,0.063106,4.399120435558979
cluster2_mol261_,-685.3964585,-0.05743289999998069,0.12662,-685.3272714,cluster2_mol261_minus2Li,-670.2206064,-0.018305900000086694,0.130479,0.130479,3.4000181595575065
cluster2_mol268_,-722.4840079,-0.018245499999920867,0.125835,-722.3764183999999,cluster2_mol268_minus2Li,-707.2591552,-0.010253099999999904,0.130117,0.130117,3.6488535717975004
cluster7_mol274_,-685.4635421,-0.04926230000000942,0.127714,-685.3850904000001,cluster7_mol274_minus2Li,-670.2262728,-0.01646850000008726,0.129545,0.129545,4.121884397834018
cluster4_mol276_,-965.7239689,-0.05153139999993073,0.048007,-965.7274933,cluster4_mol276_minus2Li,-950.4831554,-0.021055899999964822,0.050687,0.050687,4.150114951547373
cluster4_mol279_,-929.8575114,-0.04169539999998051,0.07408,-929.8251268,cluster4_mol279_minus2Li,-914.6009288,-0.013444999999933316,0.074787,0.074787,4.30754699020628
cluster4_mol283_,-606.9354305,-0.05060589999993681,0.075803,-606.9102334,cluster4_mol283_minus2Li,-591.6986354,-0.018067800000039824,0.078371,0.078371,4.121980998600272
cluster4_mol284_,-606.9577448,-0.041037400000050184,0.078004,-606.9207782000001,cluster4_mol284_minus2Li,-591.7075251,-0.016249799999968673,0.078119,0.078119,4.165806453595078
cluster7_mol285_,-1004.9844964,-0.05070979999993597,0.074974,-1004.9602322,cluster7_mol285_minus2Li,-989.7432673,-0.021833800000081283,0.076798,0.076798,4.122360598796698
cluster7_mol290_,-1004.9948975,-0.045639000000051055,0.08051,-1004.9600265,cluster7_mol290_minus2Li,-989.7309882,-0.018913700000098288,0.079249,0.079249,4.359705962065743
cluster2_mol310_,-1002.6930112,-0.058067800000003444,0.051252,-1002.699827,cluster2_mol310_minus2Li,-987.4697678,-0.02136900000004971,0.052181,0.052181,3.9719096662687483
cluster7_mol315_,-722.4235503,-0.04221419999998943,0.125124,-722.3406405,cluster7_mol315_minus2Li,-707.2325053,-0.015005200000018704,0.123913,0.123913,3.3755944924074286
cluster2_mol319_,-745.311691,-0.048388000000045395,0.096137,-745.263942,cluster2_mol319_minus2Li,-730.1036131,-0.020987400000080925,0.09846,0.09846,3.6580292840856576
cluster7_mol334_,-696.1489207,-0.04887400000006892,0.102342,-696.0954527,cluster7_mol334_minus2Li,-680.9038566,-0.02899400000001151,0.10107,0.10107,4.0100179885469736
cluster4_mol335_,-870.0066134,-0.0347646000000168,0.107023,-869.934355,cluster4_mol335_minus2Li,-854.741385,-0.015047099999947022,0.107154,0.107154,4.301246171166408
cluster7_mol337_,-1016.8550369,-0.04815470000005462,0.070397,-1016.8327946,cluster7_mol337_minus2Li,-1001.4207432,-0.07668580000006386,0.065953,0.065953,5.882800730684057
cluster2_mol339_,-661.4108236,-0.06094419999999445,0.141365,-661.3304028,cluster2_mol339_minus2Li,-646.2325522,-0.025099800000020878,0.142799,0.142799,3.355278398713739
cluster2_mol341_,-625.5471141,-0.047083100000008926,0.164619,-625.4295782,cluster2_mol341_minus2Li,-610.3608369,-0.014719000000013693,0.165064,0.165064,3.4033951046798836
cluster7_mol342_,-660.2906306,-0.04856900000004316,0.119578,-660.2196216,cluster7_mol342_minus2Li,-645.0309082,-0.024090500000056636,0.118183,0.118183,4.270347531480608
cluster4_mol346_,-870.0072703,-0.03441989999998896,0.107446,-869.9342442,cluster4_mol346_minus2Li,-854.7445628,-0.015413299999977426,0.108513,0.108513,4.27001010908327
cluster7_mol348_,-621.0284025,-0.06990440000004128,0.095517,-621.0027899,cluster7_mol348_minus2Li,-605.7703818,-0.025784899999962363,0.097004,0.097004,4.553636763745775
cluster7_mol358_,-662.4624428,-0.0496878999999808,0.162061,-662.3500697,cluster7_mol358_minus2Li,-647.3510182,-0.014622499999973115,0.165091,0.165091,2.456893987146849
cluster2_mol365_,-660.2788665,-0.04659069999991061,0.121658,-660.2037991999999,cluster2_mol365_minus2Li,-645.0362389,-0.019616000000041822,0.122609,0.122609,4.10364181919358
cluster4_mol373_,-583.7072705,-0.06937699999991764,0.09277,-583.6838775,cluster4_mol373_minus2Li,-568.6730336,-0.007546299999944495,0.101265,0.101265,1.8452152096176122
cluster4_mol378_,-791.4738793,-0.036188199999969584,0.059019,-791.4510485,cluster4_mol378_minus2Li,-776.2035158,-0.016197799999986273,0.059565,0.059565,4.380472405813791
cluster2_mol398_,-662.5727808,-0.03818249999994805,0.163793,-662.4471702999999,cluster2_mol398_minus2Li,-647.4023044,-0.02212469999994937,0.165069,0.165069,2.9778605627804464
cluster2_mol407_,-720.1585588,-0.04618469999991248,0.087238,-720.1175055,cluster2_mol407_minus2Li,-704.8962819,-0.020414599999980965,0.084882,0.084882,4.309601457221332
cluster2_mol410_,-710.5411768,-0.03380909999998494,0.138171,-710.4368149,cluster2_mol410_minus2Li,-695.3971706,-0.011821700000041346,0.141583,0.141583,2.7274523267844857
cluster2_mol412_,-745.2899104,-0.04103619999989405,0.096146,-745.2348006,cluster2_mol412_minus2Li,-730.0754827,-0.01782520000006116,0.097035,0.097035,3.6679097737979593
cluster2_mol413_,-745.3026844,-0.040148600000065926,0.094458,-745.248375,cluster2_mol413_minus2Li,-730.0870613,-0.018280900000036127,0.095928,0.095928,3.6738024205825606
cluster2_mol414_,-686.4967047,-0.0571472999999969,0.145677,-686.408175,cluster2_mol414_minus2Li,-671.4011354,-0.014593300000001364,0.15332,0.15332,2.4058221140584823
cluster2_mol434_,-685.4000142,-0.05536700000004657,0.128843,-685.3265382000001,cluster2_mol434_minus2Li,-670.2166885,-0.017737499999952888,0.130822,0.130822,3.455748638648656
cluster2_mol435_,-685.4038651,-0.05420650000007754,0.129206,-685.3288656000001,cluster2_mol435_minus2Li,-670.2230441,-0.01609469999993962,0.13107,0.13107,3.4266677260726035
cluster2_mol436_,-945.1296818,-0.038105100000052516,0.111948,-945.0558389,cluster2_mol436_minus2Li,-929.86138,-0.022681699999907323,0.112814,0.112814,4.294637862361755
cluster2_mol437_,-685.4009728,-0.05325740000000678,0.128199,-685.3260312,cluster2_mol437_minus2Li,-670.2242259,-0.01689140000007683,0.131231,0.131231,3.3633751756730894
cluster2_mol439_,-685.4075161,-0.056675799999993615,0.12874,-685.3354519,cluster2_mol439_minus2Li,-670.2260834,-0.01806299999998373,0.129955,0.129955,3.4329767085547656
cluster2_mol480_,-745.2602698,-0.05415620000007948,0.094148,-745.220278,cluster2_mol480_minus2Li,-730.0816456,-0.016982699999971373,0.096619,0.096619,3.3922710501635716
cluster2_mol481_,-745.3020476,-0.040915199999972174,0.095026,-745.2479368,cluster2_mol481_minus2Li,-730.0870494,-0.01829320000001644,0.095729,0.095729,3.6651273995963263
cluster2_mol482_,-745.2763825,-0.05806160000008731,0.093536,-745.2409081000001,cluster2_mol482_minus2Li,-730.0935359,-0.01777649999996811,0.0952,0.0952,3.4810757270564276
cluster2_mol483_,-745.3068137,-0.03984130000003461,0.094669,-745.2519860000001,cluster2_mol483_minus2Li,-730.096557,-0.018858900000054746,0.096153,0.096153,3.5889338848007655
cluster2_mol484_,-745.2629847,-0.05779979999999796,0.094461,-745.2263234999999,cluster2_mol484_minus2Li,-730.0819779,-0.017281000000025415,0.096661,0.096661,3.466516222727883
cluster2_mol485_,-745.293673,-0.04053590000000895,0.096021,-745.2381879000001,cluster2_mol485_minus2Li,-730.0842841,-0.018083199999978206,0.096909,0.096909,3.589022322123179
cluster2_mol489_,-685.432005,-0.040410899999983485,0.130674,-685.3417419,cluster2_mol489_minus2Li,-670.2204472,-0.017097100000000864,0.131491,0.131491,3.629281712182707
cluster2_mol490_,-685.4304269,-0.04018699999994624,0.130223,-685.3403909,cluster2_mol490_minus2Li,-670.2160043,-0.01850369999999657,0.13172,0.13172,3.655327183757961
cluster2_mol492_,-685.4422418,-0.04066439999996874,0.129562,-685.3533442,cluster2_mol492_minus2Li,-670.2296769,-0.018991700000015044,0.13118,0.13118,3.631553871067958
cluster2_mol493_,-706.004748,-0.061975400000051195,0.068582,-705.9981414,cluster2_mol493_minus2Li,-690.8253515,-0.02038289999995868,0.069288,0.069288,3.4388884033791105
cluster2_mol494_,-706.0378523,-0.041360199999985525,0.069298,-706.0099145,cluster2_mol494_minus2Li,-690.8286025,-0.021386699999993652,0.069593,0.069593,3.5453302034003964
cluster2_mol501_,-721.3154535,-0.050143400000024485,0.108331,-721.2572659,cluster2_mol501_minus2Li,-706.0942483,-0.028010799999947267,0.108724,0.108724,3.738701809090197
cluster7_mol502_,-756.049381,-0.058711700000003475,0.061884,-756.0462087000001,cluster7_mol502_minus2Li,-740.7980193,-0.022425900000030197,0.062717,0.062717,4.347554674043451
cluster2_mol505_,-705.9965207,-0.06021269999996548,0.068558,-705.9881753999999,cluster2_mol505_minus2Li,-690.8190501,-0.02204919999996946,0.069223,0.069223,3.3654731810624905
cluster7_mol506_,-706.0958694,-0.04444130000001678,0.069854,-706.0704567,cluster7_mol506_minus2Li,-690.8357571,-0.019685900000013135,0.070182,0.070182,4.302862533295176
cluster7_mol507_,-682.0721746,-0.044974199999956,0.081322,-682.0358268,cluster7_mol507_minus2Li,-666.8304037,-0.02139760000000024,0.082023,0.082023,4.042350673420309
cluster2_mol525_,-686.5269307,-0.04898960000002717,0.149033,-686.4268873,cluster2_mol525_minus2Li,-671.3912726,-0.016177200000015546,0.15328,0.15328,2.7725131831363723
cluster2_mol540_,-710.5408846,-0.042336099999943144,0.13814,-710.4450807,cluster2_mol540_minus2Li,-695.4050842,-0.011312399999951595,0.141541,0.141541,2.7386022322106647
cluster2_mol541_,-710.537188,-0.04425349999996797,0.137614,-710.4438275,cluster2_mol541_minus2Li,-695.4032762,-0.012392899999895235,0.141848,0.141848,2.735626656474983
cluster2_mol545_,-671.2920843,-0.04530529999999544,0.112329,-671.2250606,cluster2_mol545_minus2Li,-656.1516687,-0.013513200000033976,0.115645,0.115645,2.8106936158462443
cluster7_mol547_,-745.3683534,-0.044464899999979934,0.094946,-745.3178723,cluster7_mol547_minus2Li,-730.11147,-0.0187413999999535,0.095172,0.095172,4.270714886510508
cluster7_mol548_,-720.1573625,-0.05369640000003528,0.085818,-720.1252409,cluster7_mol548_minus2Li,-704.8868216,-0.023477500000012697,0.084562,0.084562,4.497534847903582
cluster7_mol555_,-1004.9849019,-0.04085620000000745,0.078825,-1004.9469330999999,cluster7_mol555_minus2Li,-989.7183855,-0.01591390000010051,0.07729,0.07729,4.367190480641414
cluster7_mol558_,-1004.9873728,-0.03764879999994264,0.077909,-1004.9471126,cluster7_mol558_minus2Li,-989.7121847,-0.02240340000003016,0.078254,0.078254,4.378820668756058
cluster7_mol559_,-1004.9943008,-0.03677540000001045,0.077576,-1004.9535002,cluster7_mol559_minus2Li,-989.7287793,-0.018751099999917642,0.078709,0.078709,4.295829725346033
cluster7_mol560_,-1005.0007942,-0.043492700000001605,0.077352,-1004.9669349,cluster7_mol560_minus2Li,-989.7321062,-0.023485300000061216,0.078653,0.078653,4.368179618074091
cluster7_mol564_,-969.1370855,-0.03416459999994004,0.100204,-969.0710461,cluster7_mol564_minus2Li,-953.8705741,-0.014638500000046406,0.10082,0.10082,4.32269698372669
cluster2_mol568_,-721.3154568,-0.05017340000006243,0.108237,-721.2573932,cluster2_mol568_minus2Li,-706.0942456,-0.027985599999965416,0.108732,0.108732,3.740922266155715
cluster4_mol574_,-1027.1161628,-0.05069279999997889,0.041625,-1027.1252306,cluster4_mol574_minus2Li,-1011.8711121,-0.01577780000002349,0.0421,0.0421,4.238167230914403
cluster4_mol578_,-929.8562467,-0.04177449999997407,0.07277,-929.8252512,cluster4_mol578_minus2Li,-914.5997149,-0.01574160000006941,0.074705,0.074705,4.293392936984031
cluster4_mol579_,-929.8747618,-0.034461899999996604,0.074423,-929.8348007,cluster4_mol579_minus2Li,-914.6081266,-0.013486100000022816,0.074681,0.074681,4.339234762915947
cluster4_mol580_,-929.8740219,-0.03478559999996378,0.074795,-929.8340125,cluster4_mol580_minus2Li,-914.6083486,-0.013900899999953253,0.074755,0.074755,4.320853405710167
