Reactant,R_SinglePointEnergy,R_ThermalCorrectionGibbs,R_GibbsFreeEnergy,Product,P_SinglePointEnergy,P_ThermalCorrectionGibbs,P_GibbsFreeEnergy,AnodeLimit(V)
cluster9_mol35_,-468.5571981,0.068383,-468.4888151,cluster9_mol35_minus2Li,-453.3018607,0.066889,-453.2349717,2.4915052324198133
cluster9_mol379_,-506.3931321,0.068637,-506.3244951,cluster9_mol379_minus2Li,-491.2506135,0.069143,-491.1814705,0.9837332502463634
cluster9_mol380_,-458.060912,0.101226,-457.959686,cluster9_mol380_minus2Li,-442.8605854,0.101032,-442.7595534,1.7607299543968737
cluster9_mol382_,-697.0661339,0.063034,-697.0030998999999,cluster9_mol382_minus2Li,-681.9528423,0.067679,-681.8851633,0.642392399334814
cluster9_mol383_,-433.7268183,0.109164,-433.61765429999997,cluster9_mol383_minus2Li,-418.6232891,0.114251,-418.5090381,0.5155814432294841
cluster9_mol396_,-555.1835954,0.053361,-555.1302344,cluster9_mol396_minus2Li,-540.0743841,0.055919,-540.0184651,0.5584817077778763
cluster9_mol44_,-472.9921752,0.133579,-472.8585962,cluster9_mol44_minus2Li,-457.8921168,0.139533,-457.7525838,0.480154812665496
cluster9_mol45_,-472.9967796,0.138799,-472.8579806,cluster9_mol45_minus2Li,-457.8761678,0.140407,-457.73576080000004,0.7006685127222922
cluster9_mol46_,-507.8245738,0.093156,-507.7314178,cluster9_mol46_minus2Li,-492.5735694,0.092178,-492.4813914,2.439572115872842
cluster9_mol63_,-473.0038248,0.137157,-472.8666678,cluster9_mol63_minus2Li,-457.8939707,0.139811,-457.7541597,0.5685336298393717
